id;Beheizt;Addresse;Ortsteil;Ort;PLZ;Gebäudetyp;Tabula-Klasse;Baualtersklasse;Primärenergieträger;Spezifischer Wärmebedarf (kWh/m²a);Wärmebedarf (kWh/Jahr);Raumwärmebedarf (kWh/Jahr);Strombedarf (kWh/Jahr);CO₂ Emission Wärme (t/Jahr);Heizungsanlagenalter (Jahr);Heizleistung (kW);Holzverbrauch (kWh/Jahr);Holzpellets (kWh/Jahr);Holzhackschnitzel (kWh/Jahr);Gasverbrauch (kWh/Jahr);Ölverbrauch (kWh/Jahr);Bezug von Wärmenetz (kWh/Jahr);Strombedarf Heizen (kWh/Jahr);Solarthermie Potenzial (kWh/Jahr);Geothermiepotenzial (kWh/Jahr);Primäres Heizsystem;Sanierungspotenzial Klasse;Wärmebedarfsreduktion;Endenergiebedarf (kWh/Jahr);Vorlauftemperatur für Raumheizung;Anzahl der möglichen Bohrlöcher;Abwärmepotenzial (kWh/Jahr);Temperaturbereich (Abwärme) (°C);PV-Potenzial (kWh/Jahr);Eigentum nach Verwaltungsebene;Landnutzung;Wirtschaftszweig;Bewohner;Anzahl der Wohnungen;Anzahl der Wohnungen Kategorie;Subtyp Wohnen;Industriename;Wärmebedarfstyp (ohne Prozesswärme);Elektroheizungstyp;Holzofen vorhanden;Kältebedarf (kWh/Jahr);BHKW vorhanden;Leistung BHKW (kW);Ist Abwärmequelle;Datenquelle Abwärme;Aufwand zur Bereitstellung von Abwärme;Anschluss an Wärmenetz;Interesse an Wärmenetz;Aufwand zum Anschluss an Wärmenetz;Ist Wärmequelle;Ist direkter möglicher Wärmenetz-Anschlussnehmer;Ökonomischer Sektor;Warmwasserbedarf (kWh/Jahr);Prozesswärmebedarf (kWh/Jahr);Heizlast (kW);GEG-Effizienzklasse;Datenquelle
243687628;True;Hebelstraße 26c/d;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (1958 - 1968);1949 - 1978;Erdgasnetz;126;35243,714987949796;28512,165425251387;6175,0;9,283710289508726;;;;;;42980,14022920707;;;;15515,0;0,0;Gaskessel;Mittel;22535,814389259896;42980,14022920707;65,0;0;;;17066,0;;;Wohngebäude;5;4;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;6731,549562698411;0,0;19,579841659972107;E;greenventory
243687629;True;Hebelstraße 24;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1984 - 1994);1979 - 1990;Heizöl;114;24348,308437057607;19697,781525579605;4940,0;7,899673404023134;;;;;;;27053,676041175117;;;11547,0;220190,34455196795;Ölkessel;Mittel;10747,139978705472;27053,676041175117;65,0;19;;;12702,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;4650,526911478003;0,0;13,52683802058756;D;greenventory
243687630;True;Hebelstraße 31;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1969 - 1978);1949 - 1978;Holzpellets;145;25873,30653970377;20931,504990620353;4050,0;0,5479053149584328;;;;30439,18416435738;;;;;;9964,0;0,0;Pelletheizung;Mittel;13147,632095686595;30439,18416435738;80,0;0;;;10960,0;;;Wohngebäude;3;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;4941,8015490834205;0,0;14,374059188724317;F;greenventory
243687631;True;Hebelstraße 36;Elgersweier;Offenburg;77656;Wohngebäude;Mehrfamilienhaus (1969 - 1978);1949 - 1978;Heizöl;118;50513,19640295855;40865,17588999347;9880,0;16,388725944071;;;;;;;56125,77378106506;;;16993,0;11186,599112372038;Ölkessel;Mittel;29560,08615586236;56125,77378106506;65,0;1;;;18692,0;;;Wohngebäude;8;6;2-8;Mehrfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;9648,020512965084;0,0;28,06288689053253;E;greenventory
243687632;True;;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1958 - 1968);1949 - 1978;Heizöl;160;8658,48811997;7004,71688905573;2050,0;2,8091983678124883;;;;;;;9620,54235552222;;;5006,0;0,0;Ölkessel;Mittel;3950,2427458345446;9620,54235552222;80,0;0;;;5506,0;;;Wohngebäude;1;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;False;Privates Wohnen;1653,7712309142698;0,0;4,810271177761111;F;greenventory
243687633;True;Hebelstraße 29;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1949 - 1957);1949 - 1978;Heizöl;165;35552,41225696763;28761,901515886817;4940,0;11,534782643371722;;;;;;;39502,68028551959;;;11950,0;0,0;Ölkessel;Mittel;18738,04859251622;39502,68028551959;80,0;0;;;13145,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;6790,510741080818;0,0;19,751340142759798;F;greenventory
243687634;True;Hebelstraße 27;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1958 - 1968);1949 - 1978;Heizöl;160;35046,826214614906;28352,88240762346;4940,0;11,370748060741727;;;;;;;38940,918016238786;;;12157,0;0,0;Ölkessel;Mittel;15989,335447547648;38940,918016238786;80,0;0;;;13373,0;;;Wohngebäude;4;2;1-2;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;6693,943806991448;0,0;19,47045900811939;F;greenventory
243687635;True;;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (vor 1860);Vor 1919;Heizöl;251;18080,857572460227;14627,413776120324;2050,0;5,8662337901759845;;;;;;;20089,84174717803;;;0,0;41636,309436881915;Ölkessel;Hoch;12338,515405084356;20089,84174717803;90,0;3;;;0,0;;;Wohngebäude;1;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;False;Privates Wohnen;3453,443796339903;0,0;10,044920873589016;H;greenventory
243687636;True;Hebelstraße 25;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1958 - 1968);1949 - 1978;Heizöl;160;25961,083946790244;21002,51691295331;4050,0;8,422929458291947;;;;;;;28845,64882976694;;;9005,0;12902,358137666331;Ölkessel;Mittel;11844,167493662295;28845,64882976694;80,0;1;;;9906,0;;;Wohngebäude;3;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;True;Privates Wohnen;4958,567033836936;0,0;14,422824414883468;F;greenventory
243687637;True;;Elgersweier;Offenburg;77656;Wohngebäude;Ein-/Zweifamilienhaus (1969 - 1978);1949 - 1978;Heizöl;145;10125,641979051725;8191,644361052846;2050,0;3,285208286536782;;;;;;;11250,713310057472;;;9749,0;73348,01998263545;Ölkessel;Mittel;5145,388559785378;11250,713310057472;80,0;6;;;10724,0;;;Wohngebäude;1;1;0-1;Einfamilienhaus;;Privatgebäude - Geringer Wärmebedarf;;False;0,0;False;;;;;False;False;;False;False;Privates Wohnen;1933,9976179988794;0,0;5,625356655028736;F;greenventory
